linhas,periodos,C
4,75,44928
4,76,30240
4,77,30240
5,1,45648
5,2,45648
5,3,45648
5,4,45648
5,5,45648
5,6,45648
5,7,45648
5,8,45648
5,9,45648
5,10,45648
5,11,45648
5,12,45648
5,13,45648
5,14,45648
5,15,45648
5,16,45648
5,17,45648
5,18,30960
5,19,30960
5,20,30960
5,21,30960
5,22,30960
5,23,30960
5,24,30960
5,25,30960
5,26,30960
5,27,30960
5,28,30960
5,29,30960
5,30,30960
5,31,30960
5,32,309600
5,33,309600
5,34,309600
5,35,309600
5,36,309600
5,37,309600
5,38,309600
5,39,309600
5,40,30960
5,41,30960
5,42,30960
5,43,30960
5,44,30960
5,45,30960
5,46,30960
5,47,30960
5,48,23760
5,49,61920
5,50,30960
5,51,30960
5,52,30960
5,53,30960
5,54,61920
5,55,30960
5,56,30960
5,57,30960
5,58,30960
5,59,30960
5,60,23040
5,61,30240
5,62,30240
5,63,30240
5,64,30240
5,65,30240
5,66,44194
5,67,30240
5,68,44194
5,69,30240
5,70,44194
5,71,44194
5,72,30240
5,73,30240
5,74,30240
5,75,30240
5,76,30240
5,77,30240
6,1,30960
6,2,30960
6,3,30960
6,4,30960
6,5,30960
6,6,30960
6,7,30960
6,8,30960
6,9,30960
6,10,30960
6,11,30960
6,12,30960
6,13,30960
6,14,30960
6,15,30960
6,16,30960
6,17,30960
6,18,30960
6,19,30960
6,20,30960
6,21,30960
6,22,30960
6,23,30960
6,24,30960
6,25,30960
6,26,30960
6,27,30960
6,28,30960
6,29,30960
6,30,30960
6,31,30960
6,32,30960
6,33,30960
6,34,30960
6,35,30960
6,36,309600
6,37,309600
6,38,309600
6,39,309600
6,40,309600
6,41,309600
6,42,309600
6,43,309600
6,44,309600
6,45,309600
6,46,309600
6,47,309600
6,48,237600
6,49,30960
6,50,30960
6,51,30960
6,52,30960
6,53,30960
6,54,30960
6,55,30960
6,56,30960
6,57,30960
6,58,30960
6,59,30960
6,60,23040
6,61,30240
6,62,30240
6,63,30240
6,64,30240
6,65,30240
6,66,30240
6,67,30240
6,68,30240
6,69,30240
6,70,30240
6,71,30240
6,72,30240
6,73,30240
6,74,30240
6,75,30240
6,76,30240
6,77,30240
